text_cleaning,sentimen,translatedText
saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,positif,advice to make ionic prices the same as brio if alloh sells well
problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi inflasi paling gede,negatif,"the problem of quality subsidies is reduced by prices raised by business, so look for the largest inflation subsidy"
baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,positif,good quality of flowers first good quality of motorcycles Japanese manufacturer
model jelek kwalitas buruk harga mahal croot,negatif,bad model bad quality expensive price croot
syarat   rusak woy anak muda   punya rumah jd umkm bukan kur   dapet rusak sia deui sia deui nu narima subsidi teh ari aing iraha,negatif,broken condition woy young people   have a house jd umkm not kur   dapet broken sia deui sia deui nu narima teh subsidy ari aing iraha
harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,positif,"the price of an expensive motorbike, the price is similar to a quality beat motorbike like the sky"
mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,negatif,cool mole yes   news   plus even though the local mole brand batrenya million year warranty consider batre durable year the people of Indonesia once a year out million to buy new batre o   advice money subsidy out for batre order   have authority pertamina   manage example gas kg gas kg gas kg new products eg batre v batre v batre v unpaid install gas pnp pom system swap batre many points swap point Indonesia wide
proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,negatif,the process of getting to know new products takes time to replace the bbm vehicle so the vehicle needs time for new technology to be patient
subsidi   tepat sasar,netral,targeted subsidies
adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta   ikut partisipasi investasi ekosistem motor,negatif,fair average receive subsidies don't do taxes pph msh subsidies treason orders pancasila please five fair all the people of indonesia   mmg   want flat good   usa subsidies at all profit general average subsidies move bbm vehicles faster what effect does less consumption of bbm subsidies less pollution level of interest from the private sector   participate in the participation of motorbike ecosystem investment
  tepat sasar donk syarat tepat subsidi kurang besar jd warga kurang mampu pikir beli subsidi jt mungkin warga kurang mampu lebih berani beli,negatif,"right to target the donk, the exact conditions for subsidies are less large, and people who are less able to think about buying subsidies, maybe people who are less able are more willing to buy"
mungkin subsidi baik arah   seragam sekolah bila lama seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kpd saudara   bangsa n tanah air   terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,negatif,maybe the subsidy is good for the direction of school uniforms when for a long time school uniforms abolish the ri state maybe the subsidy of school uniforms at least is annoyed with the nation's brothers and sisters and the country   continues to damage the nation n the ri state with corruption like continuing to ma af jk wrong
kampung   sekarang banyak banget bocil sama cewek   pake motor,positif,village   now there are so many boys and girls   using motorcycles
banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan   bahaya,negatif,a lot of vehicles for tion ² american explosive burn record shutter vehicle battery problem hazard
harga terlalu mahal,positif,overpriced
tahan th  ,negatif,hold th
iklan kudu kencang,netral,kudu kencang advertisement
