id_komentar,nama_akun,tanggal,text_cleaning,sentimen
Ugzbll5eyrIy3-gdUUJ4AaABAg,Sqn Ldr,2023-08-06 12:54:49+00:00,saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,0
UgzEDUiV3OTrV943p8p4AaABAg,lushen ace,2023-08-04 12:16:23+00:00,problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,1
UgwqJqu6JMF4EH2CsVV4AaABAg,Fatih Al-Ayyubi,2023-08-04 10:17:57+00:00,baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,0
UgyYicCMR1rKwuOj2Y14AaABAg,yp office,2023-08-04 08:29:54+00:00,model jelek kwalitas buruk harga mahal croot,1
UgxKAcLuAwZOQK6es-x4AaABAg,Lembur Kuring,2023-08-04 07:55:37+00:00,syarat   rusak woy anak muda   belum punya rumah belum jadi umkm bukan serta kur   dapet rusak sia deui sia deui nu narima subsidi teh ari aing iraha,1
Ugx-zVY4ktd7JNUB6xV4AaABAg,Syarif Airlangga,2023-08-04 06:58:17+00:00,harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,0
Ugzu5Wkjya394dPHoq14AaABAg,BajuMax,2023-08-04 06:31:56+00:00,mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,1
Ugyy3luBOOHQspWyBiR4AaABAg,Putut Parwoto,2023-08-04 01:04:18+00:00,proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,1
Ugw-fxD-u_9LFxhiRTp4AaABAg,Heru Prasetyo,2023-08-03 23:56:55+00:00,subsidi   tepat sasar,2
Ugx2k37YO1fch9eEM4d4AaABAg,jonan kick ass hole,2023-08-03 11:25:57+00:00,adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dahulu   ikut partisipasi investasi ekosistem motor,1
UgzBFjd8vzYUd7E2bGN4AaABAg,Rendy Ramadhan,2023-08-03 07:20:29+00:00,  tepat sasar donk syarat belum tepat subsidi kurang besar jadi warga kurang mampu pikir beli anda subsidi juta mungkin warga kurang mampu lebih berani beli,1
Ugw_wdGd4wtfM4N--ox4AaABAg,kohar arief,2023-08-03 05:08:13+00:00,mungkin subsidi baik arah   seragam sekolah bila lama guna seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kpd saudara   bangsa n tanah air   terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,1
UgzZY-ZoTvfiVoOv8Dt4AaABAg,gema,2023-08-03 04:23:25+00:00,kampung   sekarang banyak banget bocil sama cewek   pake motor,0
Ugxhg359PbSx8yP5yM94AaABAg,F,2023-08-01 12:39:56+00:00,banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan   bahaya,1
UgwzritHDvD9naYvia54AaABAg,Khoirudin 22,2023-07-29 11:08:07+00:00,harga terlalu mahal,0
UgytpyW7Exm1024zy0V4AaABAg,pemburu dolar,2023-07-29 08:54:25+00:00,tahan th  ,1
UgxjV2FjkUFE23JpaCd4AaABAg,Aris Ris,2023-07-28 23:58:30+00:00,iklan kudu kencang,2
UgwnjCqoykOu2Ill4QV4AaABAg,Rudyy Kip,2023-07-28 16:03:23+00:00,kendaran plg rawan bakar   mudah padam,1
Ugy8ZZIStkA_V9-4w7V4AaABAg,denis sined,2023-07-28 14:55:46+00:00,  buat hari   sih sangat guna     jalan jauh   sih mikir   pake charging station     keluar kota saudara   kota buat charge   banyak stasiun chrargenya juga   kaya bensin tinggal isi beberapa menit langsung jalan   butuh waktu     sebentar   kritis  banget    mungkin nyolokin minimarket or rumah  orang ,1
UgxGrdA8dD3FNULB4Rd4AaABAg,Lukman Effendi,2023-07-28 10:23:53+00:00,bapak luhut panjaitan yth baik pakai dulu dinas masyarakat lihat hasil jangan dijejeli subsidi laku pakai logika maaf masyarakat beli terimakasih,0
Ugw_osI9is5z9jHD9454AaABAg,Ricky Thunger,2023-07-27 09:20:51+00:00,subsidi motor   jalan umum tolak system,1
UgzcY_niXwmvdUpXeLF4AaABAg,pelaut tradisional,2023-07-22 13:36:57+00:00,apa sieh kok mbulet asli yo tiap spbu seluruh indonesia tempat nge charge wes laku orng   mau beli knp milih   konvensional   keluar kota khawatir mau ngecarger wong   semua tempat sedia masak   keluar daerah pulang ditowing   lucu,1
Ugx7fgw4nttAS5QYwBR4AaABAg,Heangky Edem,2023-07-22 04:10:12+00:00,buat larang jual kendara konvensional,1
